,Year,Month,Bangkok_anomaly,Bangkok,Bombay_anomaly,Bombay,Cairo_anomaly,Cairo,Cape_Town_anomaly,Cape_Town,Chicago_anomaly,Chicago,Istanbul_anomaly,Istanbul,London_anomaly,London,Los_Angeles_anomaly,Los_Angeles,Mexico_anomaly,Mexico,Montreal_anomaly,Montreal,Moscow_anomaly,Moscow,New_York_anomaly,New_York,Rome_anomaly,Rome,Santiago_anomaly,Santiago,Sao_Paulo_anomaly,Sao_Paulo,Seoul_anomaly,Seoul,Shanghai_anomaly,Shanghai,Somalia_anomaly,Somalia,Sydney_anomaly,Sydney,Tokyo_anomaly,Tokyo
0,1850,1,-1.1440000000000001,23.896,-1.59,22.78,-1.041,12.078999999999999,,,2.781,1.3810000000000002,-2.9789999999999996,2.371,-3.451,-0.18100000000000005,,,1.824,14.193999999999999,1.034,-10.466,-6.763999999999999,-17.154,1.889,-1.301,-3.205,0.14500000000000002,,,,,-0.937,-4.797,,,,,,,,
1,1850,2,-0.599,26.431,-0.6970000000000001,23.713,-1.371,13.399,,,1.004,0.914,-1.9380000000000002,4.102,2.6860000000000004,6.336,,,1.06,14.73,1.3,-8.959999999999999,1.126,-8.154,1.585,-0.4950000000000001,-0.17800000000000002,4.562,,,,,-0.594,-2.284,,,,,,,,
2,1850,3,-0.753,28.097,-0.7190000000000001,25.301,-1.499,16.041,,,-1.544,1.666,-2.577,4.823,-1.554,4.136,,,-0.054000000000000006,16.266000000000002,-1.2309999999999999,-4.771,-2.44,-6.5,-1.3719999999999999,1.548,-2.326,4.744,,,,,0.11900000000000001,3.5490000000000004,,,,,,,,
3,1850,4,-1.297,28.633,-1.194,26.426000000000002,-1.4180000000000001,19.862000000000002,,,-4.09,3.4800000000000004,-2.191,9.309000000000001,0.758,8.758,,,-0.8059999999999999,17.124,-2.714,1.6860000000000004,-3.2880000000000003,1.5119999999999996,-3.051,6.179,-0.20199999999999999,9.848,,,,,-2.8960000000000004,7.183999999999999,,,,,,,,
4,1850,5,-1.446,27.994,-1.25,27.85,-2.427,22.613,,,-2.345,9.604999999999999,-1.94,14.299999999999999,-1.1540000000000001,10.446,,,-2.394,16.326,-3.512,8.398,0.711,12.671000000000001,-3.2089999999999996,11.761000000000001,-1.205,13.385,,,,,-1.209,14.811,,,,,,,,
5,1850,6,-0.504,28.055999999999997,-0.28800000000000003,28.062,-1.18,26.55,,,1.0979999999999999,18.758,0.598,20.868,1.044,15.784,,,-0.85,17.45,-0.09699999999999999,17.113,1.069,17.229,-0.345,19.565,0.075,18.845,,,,,-0.782,19.108,,,,,,,,
6,1850,7,-0.18899999999999997,27.801,-0.006999999999999999,27.173,0.077,28.437,,,1.515,23.415,0.53,23.12,-0.024,16.486,,,0.33899999999999997,17.709,-0.647,19.063000000000002,0.40399999999999997,18.164,-0.129,22.421,-0.35,21.2,,,,,-0.455,23.035,,,,,,,,
7,1850,8,-0.434,27.416,-0.062,26.767999999999997,-0.33899999999999997,27.791,,,0.914,23.374000000000002,1.48,24.14,-0.815,15.465000000000002,,,0.23399999999999999,17.753999999999998,-2.028,16.262,2.9730000000000003,19.223,-1.52,20.14,-0.009000000000000001,21.320999999999998,,,,,-1.743,22.717000000000002,,,,,,,,
8,1850,9,-0.9109999999999999,26.759,-0.46,26.72,-1.126,25.003999999999998,,,-0.9940000000000001,17.936,-1.579,17.781,-1.4269999999999998,12.603,,,-0.17,16.759999999999998,-1.44,12.09,-1.3,9.469999999999999,-1.565,16.014999999999997,-2.081,15.769000000000002,,,,,-0.92,18.97,,,,,,,,
9,1850,10,-0.7490000000000001,26.331,-0.266,27.884,-0.523,22.867,,,-1.595,11.674999999999999,0.873,16.103,-2.7880000000000003,7.702,,,-0.449,15.061,-1.3330000000000002,6.077,-2.291,2.079,-1.484,9.806,-2.092,10.618,,,,,-0.9540000000000001,12.526,,,,,,,,
10,1850,11,-0.79,25.240000000000002,-0.902,26.778,-2.0269999999999997,17.023,,,0.488,7.628,-1.5859999999999999,10.064,0.7979999999999999,7.208,,,-0.9670000000000001,13.133,-0.348,0.392,0.5579999999999999,-1.302,-0.11,5.43,-0.632,7.598000000000001,,,,,-2.9389999999999996,3.4710000000000005,,,,,,,,
11,1850,12,-0.792,23.927999999999997,-1.0659999999999998,24.934,-1.588,12.992,,,-2.681,-1.161,-1.725,5.904999999999999,-0.348,3.992,,,-2.1,10.59,-2.9330000000000003,-11.183,1.734,-4.916,-1.08,-1.92,-0.715,3.835,,,,,-1.242,-2.012,,,,,,,,
12,1851,1,-0.29,24.75,-1.391,22.979,0.039,13.158999999999999,,,2.983,1.5830000000000002,-1.153,4.196999999999999,1.827,5.0969999999999995,,,0.187,12.556999999999999,0.003,-11.497,-0.27899999999999997,-10.669,1.3880000000000001,-1.8019999999999998,0.498,3.848,,,0.16699999999999998,23.027,0.34600000000000003,-3.514,,,,,,,,
13,1851,2,-0.943,26.087,-0.5870000000000001,23.823,-1.091,13.679,,,3.318,3.228,-2.176,3.864,0.474,4.124,,,-0.626,13.044,1.315,-8.945,-2.9330000000000003,-12.213,2.372,0.2919999999999998,0.023,4.763,,,-0.125,22.955,-0.8059999999999999,-2.496,,,,,,,,
14,1851,3,-1.178,27.672,-0.644,25.376,-0.531,17.009,,,2.813,6.023,0.223,7.623,0.028999999999999998,5.719,,,-1.097,15.223,0.331,-3.209,-3.4939999999999998,-7.553999999999999,0.8140000000000001,3.734,-0.843,6.227,,,-1.078,21.382,-2.18,1.25,,,,,,,,
15,1851,4,-1.516,28.414,-0.6890000000000001,26.931,-0.8240000000000001,20.456,,,-1.258,6.312,0.134,11.634,-0.6970000000000001,7.303,,,-0.7829999999999999,17.147,-1.419,2.9810000000000003,-0.01,4.79,-0.965,8.265,0.8079999999999999,10.858,,,0.435,20.455,-2.917,7.163,,,,,,,,
16,1851,5,-0.498,28.942,-0.805,28.295,0.747,25.787,,,-0.524,11.425999999999998,1.851,18.090999999999998,-1.265,10.334999999999999,,,-0.061,18.659,-1.516,10.394,-0.151,11.809000000000001,-0.885,14.085,-1.449,13.141,,,-0.237,17.643,-2.2840000000000003,13.735999999999999,,,,,,,,
17,1851,6,-0.423,28.137,-0.779,27.571,-0.866,26.864,,,-1.2229999999999999,16.437,-1.265,19.005,0.198,14.938,,,-0.092,18.208000000000002,-2.3080000000000003,14.902000000000001,-1.295,14.865,-1.446,18.464,0.053,18.823,,,-0.758,15.872,-0.33799999999999997,19.552,,,,,,,,
18,1851,7,-0.135,27.854999999999997,-0.659,26.521,0.16699999999999998,28.527,,,-0.34700000000000003,21.552999999999997,-0.057999999999999996,22.532,-0.965,15.545000000000002,,,-0.5539999999999999,16.816000000000003,-2.0180000000000002,17.692,0.96,18.720000000000002,-0.618,21.932000000000002,-0.505,21.045,,,0.327,16.717000000000002,-0.113,23.377,,,,,,,,
19,1851,8,-0.401,27.449,-0.521,26.308999999999997,-0.166,27.964,,,-1.276,21.184,0.61,23.27,0.293,16.573,,,-0.1,17.419999999999998,-2.447,15.843,0.174,16.424,-1.591,20.069,-0.682,20.648,,,-0.7140000000000001,16.976000000000003,-1.636,22.824,,,,,,,,
20,1851,9,-0.547,27.123,-0.535,26.645,-0.7709999999999999,25.358999999999998,,,0.733,19.663,-0.363,18.997,-1.026,13.004,,,-1.023,15.907,-0.765,12.764999999999999,3.522,14.292,-0.565,17.014999999999997,-2.846,15.004000000000001,,,-1.4269999999999998,17.483,-1.619,18.271,,,,,,,,
